tanggal_panen,kebun,divisi,akp_panen,jumlah_tk_panen,luas_panen_ha,jjg_panen_jjg,jjg_kirim_jjg,ketrek,total_jjg_kirim_jjg,tonase_panen_kg,refraksi_kg,refraksi_persen,restant_jjg,bjr_hari_ini,output_kg_hk,output_ha_hk,budget_harian,timbang_kebun_harian,timbang_pks_harian,rotasi_panen,bjr_calc,akp_calc,acv0_prod,selisih
6/6/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
6/7/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19799,0,0,19,0,0,0,0
6/8/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
6/9/2025,PT. LSP PR,DIVISI 1,24,11,22.69,799,799,0,799,18970,570,3,0,24,1725,2.06,19799,19270,18970,18,23.74,24,96,-300
3/1/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/2/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/4/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/5/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/6/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/7/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/8/2025,CANDIMAS,DIVISI 1,21,8,13,365,365,0,365,5620,280,5,0,15,703,1.67,2219,5620,5620,0,15.4,21,253,0
3/9/2025,CANDIMAS,DIVISI 1,21,8,13,368,368,0,368,5080,250,4.9,0,14,635,1.67,0,5080,5080,0,13.8,21,0,0
3/10/2025,CANDIMAS,DIVISI 1,16,8,13,278,278,0,278,3840,190,4.9,0,14,480,1.67,2219,3840,3840,0,13.81,16,173,0
3/11/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/12/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/13/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/14/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/15/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/16/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/18/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/19/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/20/2025,CANDIMAS,DIVISI 1,33,8,10,423,423,0,423,5800,290,5,0,14,725,1.25,2219,5800,5800,0,13.71,33,261,0
3/21/2025,CANDIMAS,DIVISI 1,33,8,10,433,433,0,433,6070,300,4.9,0,14,759,1.25,2219,6070,6070,0,14.02,33,274,0
3/22/2025,CANDIMAS,DIVISI 1,29,8,10,373,373,0,373,5120,260,5.1,0,14,640,1.25,2219,5120,5120,0,13.73,29,231,0
